,Year,Day_of_Week,count
10,2015,Monday,315
11,2015,Tuesday,450
21,2015,Wednesday,417
26,2015,Thursday,425
0,2015,Friday,426
3,2015,Saturday,355
6,2015,Sunday,276
2664,2016,Monday,342
2675,2016,Tuesday,381
2692,2016,Wednesday,377
2665,2016,Thursday,419
2666,2016,Friday,401
2731,2016,Saturday,329
2690,2016,Sunday,300
5219,2017,Monday,297
5226,2017,Tuesday,293
5227,2017,Wednesday,332
5234,2017,Thursday,323
5213,2017,Friday,367
5214,2017,Saturday,335
5215,2017,Sunday,256
7422,2018,Monday,327
7468,2018,Tuesday,261
7487,2018,Wednesday,300
7416,2018,Thursday,309
7479,2018,Friday,317
7429,2018,Saturday,244
7435,2018,Sunday,237



